"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9618,0.9223,1,"2","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9323,0.8986,1,"3","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9543,0.904,1,"4","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8249,0.6855,1,"1","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.9215,0.794,1,"2","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8389,0.7204,1,"3","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.9584,0.9102,1,"4","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9324,0.8907,1,"1","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9618,0.9223,1,"2","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9323,0.8986,1,"3","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9543,0.904,1,"4","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
