"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9865,0.9997,1,"4","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0858,0.1319,0,"1","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0783,0.1176,0,"2","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0651,0.1092,0,"3","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0451,0.082,0,"4","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(IgG)",0.95,0.3024,0.3662,0,"1","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2387,0.2989,0,"2","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2334,0.3026,0,"3","Unadjusted","IgG","general"
"P(IgG)",0.95,0.9646,0.9773,1,"4","Unadjusted","IgG","general"
"P(IgG)",0.95,0.236,0.308,0,"1","Adjusted","IgG","general"
"P(IgG)",0.95,0.1642,0.2321,0,"2","Adjusted","IgG","general"
"P(IgG)",0.95,0.1583,0.2363,0,"3","Adjusted","IgG","general"
"P(IgG)",0.95,0.9826,0.997,1,"4","Adjusted","IgG","general"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1818,0.2836,0,"1","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1428,0.2379,0,"2","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1207,0.2396,0,"3","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.0436,0.0794,0,"4","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.077,0.1122,0,"1","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0693,0.1022,0,"2","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0611,0.0973,0,"3","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0445,0.0816,0,"4","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1818,0.2836,0,"1","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1428,0.2379,0,"2","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1207,0.2396,0,"3","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.0436,0.0794,0,"4","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.077,0.1122,0,"1","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0693,0.1022,0,"2","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0611,0.0973,0,"3","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0445,0.0816,0,"4","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9142,0.8681,1,"1","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9217,0.8824,1,"2","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9349,0.8908,1,"3","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9549,0.918,1,"4","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8182,0.7164,1,"1","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8572,0.7621,1,"2","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8793,0.7604,1,"3","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.9564,0.9206,1,"4","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.923,0.8878,1,"1","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9307,0.8978,1,"2","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9389,0.9027,1,"3","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9555,0.9184,1,"4","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8182,0.7164,1,"1","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8572,0.7621,1,"2","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8793,0.7604,1,"3","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.9564,0.9206,1,"4","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.923,0.8878,1,"1","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9307,0.8978,1,"2","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9389,0.9027,1,"3","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9555,0.9184,1,"4","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
