"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(Hombre|¬ IgG)",0.95,0.5494,0.8661,1,"2","Unadjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5189,0.9552,1,"3","Unadjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.7965,0.8469,1,"4","Unadjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|IgG)",0.95,0.8405,0.9172,1,"1","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.7795,0.871,1,"2","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.8056,0.9038,1,"3","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.8075,0.8519,1,"4","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5089,0.9074,1,"1","Adjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5494,0.8661,1,"2","Adjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5189,0.9552,1,"3","Adjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.7965,0.8469,1,"4","Adjusted","Hombre","dado que no tuvo IgG"
"P(Mujer)",0.95,0.1653,0.1222,0,"1","Unadjusted","Mujer","general"
"P(Mujer)",0.95,0.2233,0.1786,0,"2","Unadjusted","Mujer","general"
"P(Mujer)",0.95,0.1902,0.1355,0,"3","Unadjusted","Mujer","general"
"P(Mujer)",0.95,0.1937,0.1489,0,"4","Unadjusted","Mujer","general"
"P(Mujer|IgG)",0.95,0.1595,0.0828,0,"1","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.2205,0.129,0,"2","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.1944,0.0962,0,"3","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.1925,0.1481,0,"4","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4911,0.0926,0,"1","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4506,0.1339,0,"2","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4811,0.0448,0,"3","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.2035,0.15310000000000001,0,"4","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|IgG)",0.95,0.1595,0.0828,0,"1","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.2205,0.129,0,"2","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.1944,0.0962,0,"3","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.1925,0.1481,0,"4","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4911,0.0926,0,"1","Adjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4506,0.1339,0,"2","Adjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4811,0.0448,0,"3","Adjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.2035,0.15310000000000001,0,"4","Adjusted","Mujer","dado que no tuvo IgG"
