"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(ITT)",0.95,0.1044,0.1395,0.1209,"3","Adjusted","ITT","general"
"P(ITT)",0.95,0.0746,0.1092,0.0905,"4","Adjusted","ITT","general"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.7119,0.844,0.7832,"1","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.6108,0.7564,0.6867,"2","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.6798,0.8184,0.7554,"3","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.6074,0.791,0.6972,"4","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.076,0.1356,0.1038,"1","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.1034,0.1626,0.1323,"2","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.1123,0.192,0.1486,"3","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.161,0.2894,0.2199,"4","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.7119,0.844,0.7832,"1","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.6108,0.7564,0.6867,"2","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.6798,0.8184,0.7554,"3","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.6074,0.791,0.6972,"4","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.076,0.1356,0.1038,"1","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.1034,0.1626,0.1323,"2","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.1123,0.192,0.1486,"3","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.161,0.2894,0.2199,"4","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.7026,0.6504,0.6768,"1","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.7268,0.6782,0.7034,"2","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.6509,0.5958,0.6223,"3","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.6073,0.5471,0.5799,"4","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.2881,0.156,0.2168,"1","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.3892,0.2436,0.3133,"2","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.3202,0.1816,0.2446,"3","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.3926,0.209,0.3028,"4","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.924,0.8644,0.8962,"1","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.8966,0.8374,0.8677,"2","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.8877,0.808,0.8514,"3","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.839,0.7106,0.7801,"4","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.2881,0.156,0.2168,"1","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.3892,0.2436,0.3133,"2","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.3202,0.1816,0.2446,"3","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.3926,0.209,0.3028,"4","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.924,0.8644,0.8962,"1","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.8966,0.8374,0.8677,"2","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.8877,0.808,0.8514,"3","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.839,0.7106,0.7801,"4","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
