"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9913,0.9992,0.9963,"4","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0899,0.1235,0.1066,"1","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0715,0.1033,0.0867,"2","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0762,0.1077,0.0915,"3","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0499,0.0771,0.0625,"4","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(IgG)",0.95,0.2953,0.3453,0.3192,"1","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2494,0.3004,0.2729,"2","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2332,0.2848,0.2586,"3","Unadjusted","IgG","general"
"P(IgG)",0.95,0.97,0.9782,0.9747,"4","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2281,0.2845,0.2551,"1","Adjusted","IgG","general"
"P(IgG)",0.95,0.1763,0.2338,0.2028,"2","Adjusted","IgG","general"
"P(IgG)",0.95,0.1581,0.2162,0.1866,"3","Adjusted","IgG","general"
"P(IgG)",0.95,0.9887,0.9979,0.994,"4","Adjusted","IgG","general"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1966,0.2776,0.2349,"1","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.138,0.2199,0.1799,"2","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1505,0.2332,0.1933,"3","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.0475,0.0743,0.0606,"4","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0789,0.1042,0.091,"1","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0643,0.0904,0.0779,"2","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0681,0.0941,0.0814,"3","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.05,0.0774,0.0627,"4","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1966,0.2776,0.2349,"1","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.138,0.2199,0.1799,"2","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1505,0.2332,0.1933,"3","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.0475,0.0743,0.0606,"4","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0789,0.1042,0.091,"1","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0643,0.0904,0.0779,"2","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0681,0.0941,0.0814,"3","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.05,0.0774,0.0627,"4","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9101,0.8765,0.8934,"1","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9285,0.8967,0.9133,"2","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9238,0.8923,0.9085,"3","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9501,0.9229,0.9375,"4","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8034,0.7224,0.7651,"1","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.862,0.7801,0.8201,"2","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8495,0.7668,0.8067,"3","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.9525,0.9257,0.9394,"4","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9211,0.8958,0.909,"1","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9357,0.9096,0.9221,"2","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9319,0.9059,0.9186,"3","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.95,0.9226,0.9373,"4","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8034,0.7224,0.7651,"1","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.862,0.7801,0.8201,"2","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8495,0.7668,0.8067,"3","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.9525,0.9257,0.9394,"4","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9211,0.8958,0.909,"1","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9357,0.9096,0.9221,"2","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9319,0.9059,0.9186,"3","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.95,0.9226,0.9373,"4","Adjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
