"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.0973,0.1574,0.1247,"2","Adjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.1059,0.1725,0.1359,"3","Adjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.985,0.9989,0.9938,"4","Adjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.2977,0.3496,0.3239,"1","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.2728,0.3244,0.2973,"2","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.3493,0.4032,0.377,"3","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.3904,0.4506,0.4199,"4","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(IgG)",0.95,0.2953,0.3448,0.3191,"1","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2497,0.2993,0.2731,"2","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2342,0.2849,0.2595,"3","Unadjusted","IgG","general"
"P(IgG)",0.95,0.9683,0.9777,0.9739,"4","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2281,0.2839,0.255,"1","Adjusted","IgG","general"
"P(IgG)",0.95,0.1767,0.2326,0.203,"2","Adjusted","IgG","general"
"P(IgG)",0.95,0.1591,0.2163,0.1877,"3","Adjusted","IgG","general"
"P(IgG)",0.95,0.9868,0.9974,0.9931,"4","Adjusted","IgG","general"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.5088,0.6081,0.5582,"1","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.4207,0.5248,0.4748,"2","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.4342,0.5362,0.4877,"3","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.3896,0.4494,0.4197,"4","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.1877,0.2322,0.211,"1","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.2008,0.2466,0.2212,"2","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.2771,0.3417,0.3103,"3","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.3913,0.4523,0.4201,"4","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.5088,0.6081,0.5582,"1","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.4207,0.5248,0.4748,"2","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.4342,0.5362,0.4877,"3","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.3896,0.4494,0.4197,"4","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.1877,0.2322,0.211,"1","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.2008,0.2466,0.2212,"2","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.2771,0.3417,0.3103,"3","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.3913,0.4523,0.4201,"4","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.7023,0.6504,0.6761,"1","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.7272,0.6756,0.7027,"2","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.6507,0.5968,0.623,"3","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.6096,0.5494,0.5801,"4","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria|IgG)",0.95,0.4912,0.3919,0.4418,"1","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|IgG)",0.95,0.5793,0.4752,0.5252,"2","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|IgG)",0.95,0.5658,0.4638,0.5123,"3","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|IgG)",0.95,0.6104,0.5506,0.5803,"4","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.8123,0.7678,0.789,"1","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.7992,0.7534,0.7788,"2","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.7229,0.6583,0.6897,"3","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.6087,0.5477,0.5799,"4","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|IgG)",0.95,0.4912,0.3919,0.4418,"1","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|IgG)",0.95,0.5793,0.4752,0.5252,"2","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|IgG)",0.95,0.5658,0.4638,0.5123,"3","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|IgG)",0.95,0.6104,0.5506,0.5803,"4","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.8123,0.7678,0.789,"1","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.7992,0.7534,0.7788,"2","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.7229,0.6583,0.6897,"3","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
"P(No tuvo Enfermedad Respiratoria|¬ IgG)",0.95,0.6087,0.5477,0.5799,"4","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo IgG"
