"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG)",0.95,0.2272,0.2834,0,"3","Unadjusted","IgG","general"
"P(IgG)",0.95,0.9508,0.9744,1,"4","Unadjusted","IgG","general"
"P(IgG)",0.95,0.1949,0.2828,0,"1","Adjusted","IgG","general"
"P(IgG)",0.95,0.1709,0.271,0,"2","Adjusted","IgG","general"
"P(IgG)",0.95,0.1513,0.2146,0,"3","Adjusted","IgG","general"
"P(IgG)",0.95,0.9671,0.9937,1,"4","Adjusted","IgG","general"
"P(Hombre|IgG)",0.95,0.8032,0.9132,1,"1","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.8359,0.9479,1,"2","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.7785,0.8755,1,"3","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.7468,0.8161,1,"4","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5292,1,1,"1","Unadjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.4857,1,1,"2","Unadjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5035,0.8572,1,"3","Unadjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.7345,0.8098,1,"4","Unadjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|IgG)",0.95,0.8032,0.9132,1,"1","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.8359,0.9479,1,"2","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.7785,0.8755,1,"3","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.7468,0.8161,1,"4","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5292,1,1,"1","Adjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.4857,1,1,"2","Adjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5035,0.8572,1,"3","Adjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.7345,0.8098,1,"4","Adjusted","Hombre","dado que no tuvo IgG"
"P(Mujer)",0.95,0.1888,0.1321,0,"1","Unadjusted","Mujer","general"
"P(Mujer)",0.95,0.1509,0.0951,0,"2","Unadjusted","Mujer","general"
"P(Mujer)",0.95,0.2261,0.1746,0,"3","Unadjusted","Mujer","general"
"P(Mujer)",0.95,0.2534,0.1844,0,"4","Unadjusted","Mujer","general"
"P(Mujer|IgG)",0.95,0.1968,0.0868,0,"1","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.1641,0.0521,0,"2","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.2215,0.1245,0,"3","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.2532,0.1839,0,"4","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4708,0,0,"1","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.5143,0,0,"2","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4965,0.1428,0,"3","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.2655,0.1902,0,"4","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|IgG)",0.95,0.1968,0.0868,0,"1","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.1641,0.0521,0,"2","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.2215,0.1245,0,"3","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.2532,0.1839,0,"4","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4708,0,0,"1","Adjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.5143,0,0,"2","Adjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4965,0.1428,0,"3","Adjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.2655,0.1902,0,"4","Adjusted","Mujer","dado que no tuvo IgG"
