"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(Hombre|IgG)",0.95,0.8447,0.9092,0.8783,"1","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.8132,0.8796,0.8457,"2","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.8095,0.8797,0.8455,"3","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.797,0.835,0.8161,"4","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5407,0.8705,0.7024,"1","Unadjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5602,0.8211,0.6898,"2","Unadjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5624,0.8352,0.6972,"3","Unadjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.7917,0.8322,0.8113,"4","Unadjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|IgG)",0.95,0.8447,0.9092,0.8783,"1","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.8132,0.8796,0.8457,"2","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.8095,0.8797,0.8455,"3","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.797,0.835,0.8161,"4","Adjusted","Hombre","dado que tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5407,0.8705,0.7024,"1","Adjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5602,0.8211,0.6898,"2","Adjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5624,0.8352,0.6972,"3","Adjusted","Hombre","dado que no tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.7917,0.8322,0.8113,"4","Adjusted","Hombre","dado que no tuvo IgG"
"P(Mujer)",0.95,0.1657,0.1314,0.1474,"1","Unadjusted","Mujer","general"
"P(Mujer)",0.95,0.2005,0.1639,0.1828,"2","Unadjusted","Mujer","general"
"P(Mujer)",0.95,0.1999,0.163,0.1819,"3","Unadjusted","Mujer","general"
"P(Mujer)",0.95,0.2025,0.1648,0.1847,"4","Unadjusted","Mujer","general"
"P(Mujer|IgG)",0.95,0.1553,0.0908,0.1217,"1","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.1868,0.1204,0.1543,"2","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.1905,0.1203,0.1545,"3","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.203,0.165,0.1839,"4","Unadjusted","Mujer","dado que tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4593,0.1295,0.2976,"1","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4398,0.1789,0.3102,"2","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4376,0.1648,0.3028,"3","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.2083,0.1678,0.1887,"4","Unadjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|IgG)",0.95,0.1553,0.0908,0.1217,"1","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.1868,0.1204,0.1543,"2","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.1905,0.1203,0.1545,"3","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|IgG)",0.95,0.203,0.165,0.1839,"4","Adjusted","Mujer","dado que tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4593,0.1295,0.2976,"1","Adjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4398,0.1789,0.3102,"2","Adjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.4376,0.1648,0.3028,"3","Adjusted","Mujer","dado que no tuvo IgG"
"P(Mujer|¬ IgG)",0.95,0.2083,0.1678,0.1887,"4","Adjusted","Mujer","dado que no tuvo IgG"
