"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.5465,0.2655,0,"4","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.946,0.8564,1,"1","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.8871,0.7686,1,"2","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.9028,0.7772,1,"3","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.8223,0.6331,1,"4","Unadjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.3186,0.1142,0,"1","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.6131,0.3044,0,"2","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.33,0.1405,0,"3","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.5465,0.2655,0,"4","Adjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.946,0.8564,1,"1","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.8871,0.7686,1,"2","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.9028,0.7772,1,"3","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.8223,0.6331,1,"4","Adjusted","No tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
